Instrument,Date,Price Close,Volume,Company Market Capitalization,Price To Sales Per Share (Daily Time Series Ratio),Beta,Earnings Per Share - Actual,Price To Book Value Per Share (Daily Time Series Ratio),Forward Price To Book Value Per Share (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),Total Return,Number of Trades,Combined Alpha Model Sector Rank,Combined Alpha Model Industry Rank
POOL.OQ,2023-05-01 00:00:00+00:00,346.78,118561,13537684335.0,2.26615701245311,0.932675483650222,2.58,10.7704280337387,8.69122807017544,20.5195873360572,9.18030029007259,-1.29226915632472,4057,15,39
POOL.OQ,2023-04-28 00:00:00+00:00,351.32,151372,13714917990.0,2.29582525409489,0.932580900194475,2.58,10.9114331184413,8.80501253132832,20.7882271841041,9.07222025980542,2.69812037767839,4655,11,28
POOL.OQ,2023-04-27 00:00:00+00:00,342.09,134656,13354594942.5,2.16103315607632,0.932580900194475,2.58,10.8203714459566,8.57368421052632,18.2380397665932,9.43672576420008,2.96162528216703,4380,11,28
POOL.OQ,2023-04-26 00:00:00+00:00,332.25,126815,12970458562.5,2.09887241984962,0.932388966027154,2.58,10.5091303835806,8.32706766917293,17.7134342203823,9.69001483051012,-1.38608571767779,4486,12,34
POOL.OQ,2023-04-25 00:00:00+00:00,336.92,151432,13152767190.0,2.12837350096534,0.932480015253157,2.58,10.6568433674521,8.44411027568922,17.9624086005454,9.56813157946861,-3.80035976358393,4842,10,28
POOL.OQ,2023-04-24 00:00:00+00:00,350.23,201220,13672366297.5,2.21245474071913,0.935852162759329,2.58,11.0778411865807,8.77769423558897,18.6720122407961,9.23699182513288,2.03647593520569,5742,10,28
POOL.OQ,2023-04-21 00:00:00+00:00,343.24,248200,13411697290.32,2.17027342636981,0.932946018279647,2.58,10.8567461636123,8.60250626566416,18.299350374128,9.40020014160825,3.26423779295407,8013,10,28
POOL.OQ,2023-04-20 00:00:00+00:00,332.39,371069,12987746365.02,2.10166992247716,0.932413568030374,2.58,10.5135586100778,8.58667011108241,17.72089812043,9.67832388560413,-1.85431245755456,9533,10,28
POOL.OQ,2023-04-19 00:00:00+00:00,338.67,158777,13233129942.06,2.1413777569883,0.932771692097682,1.82,10.7121961986674,8.74890209248256,18.0557073511418,9.51537301315701,-0.079660116834833,5281,12,34
POOL.OQ,2023-04-18 00:00:00+00:00,338.94,191369,13243679872.92,2.14308494095614,0.932771692097682,1.82,10.7207363497691,8.75587703435805,18.0701020155196,9.50849010114981,0.44750022226832,6129,15,39
POOL.OQ,2023-04-17 00:00:00+00:00,337.43,157518,13184678407.74,2.13353735654342,0.932824881089248,1.82,10.6729747639777,8.67206373682858,17.9895985221478,9.54711181946583,2.17411052233157,5449,15,39
POOL.OQ,2023-04-14 00:00:00+00:00,330.25,217631,12904128394.5,2.08813890880617,0.931929101904897,1.82,10.4458700050489,8.48753533795939,17.6068070768435,9.73513416734804,-2.96468237644708,8254,15,39
POOL.OQ,2023-04-13 00:00:00+00:00,340.34,180085,13298383218.12,2.15193700597454,0.932131040019915,1.82,10.7650186147413,8.74685170907222,18.1447410159967,9.47296000563936,1.92872117400419,4624,15,39
POOL.OQ,2023-04-12 00:00:00+00:00,333.9,184225,13046747830.2,2.11121750688987,0.932302474855149,1.82,10.5613201958692,8.58134155744025,17.8014016138018,9.63863547275919,-3.44687987970621,6612,15,45
POOL.OQ,2023-04-11 00:00:00+00:00,345.82,166771,13512507740.76,2.18658651761802,0.932902231643496,1.82,10.9383520519182,8.88768953996402,18.436899389293,9.33640208785199,3.17749201897544,5913,14,39
POOL.OQ,2023-04-10 00:00:00+00:00,335.17,116164,13096371579.06,2.11924759444228,0.933148890757714,1.82,10.6014905362369,8.61398098175276,17.869109849949,9.60550629823811,2.73095077545517,4402,16,45
POOL.OQ,2023-04-06 00:00:00+00:00,326.26,130634,12748223860.68,2.06291052350371,0.933148890757714,1.82,10.3196655498781,8.38499100488307,17.3940859254836,9.84285683055779,1.37965322229818,5191,17,53
POOL.OQ,2023-04-05 00:00:00+00:00,321.82,153057,12574736108.76,2.0348368315882,0.932513688113186,1.82,10.1792275095377,8.27088152145978,17.1573736668275,9.96556604811579,-1.72834982288995,5078,16,50
POOL.OQ,2023-04-04 00:00:00+00:00,327.48,126211,12795893918.64,2.0706244658769,0.933505339933684,1.82,10.3582543807824,8.41634541249037,17.4591284830423,9.8096669005746,-3.46941783345615,4262,16,50
POOL.OQ,2023-04-03 00:00:00+00:00,339.25,167238,13255792756.5,2.14504504106735,0.934377503325871,1.82,10.7305417084416,8.71883834489848,18.0866292227681,9.5005997677877,-0.931550052563952,4301,16,50
CHRW.OQ,2023-05-01 00:00:00+00:00,104.44,821589,12160872658.48,0.540667248367467,0.807483223486463,0.98,8.80323289330699,6.11861584770716,16.8320485815083,14.0258191823312,3.53920888272033,16068,8,11
