timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
ATVI.OQ,-1.937687665893016,0.9054413544445663,0.19621297360877274,-1.1930875577517714,-0.8097366241509687,-1.0578239792271458,-0.32140997116616626,0.1687896439433736,0.9167833809666062,0.9597182203547333,-0.18704576630027803,0.42320511357531393,-0.9549031183883846,-0.30281283660607794,-0.48115029375067936,0.394,1.361,-0.801,-0.093,0.543,-0.502,1.239,-0.357,-1.457,-1.194,0.358,-0.167,-5.858
IEX.N,-0.3395153927166267,-0.2138912730732757,0.6700933216176204,0.17930669055107143,-0.4369176766432983,-0.2915264502377593,-0.0647657084275595,0.023241405023120318,-0.07029743693422766,0.006739755126868006,-0.010973961072412802,-0.0005720708454274129,-0.13509820337107595,-0.07666982896300631,-0.30863858591944165,0.162,0.842,-0.82,0.531,-0.657,-1.244,-1.094,-0.284,-0.997,-0.875,-0.378,0.08,1.688
ABC.N,-1.4593484516774078,0.8532207373902752,1.410464902542977,-0.5204625761244133,-0.8055085197495687,-0.9462833367153953,0.1789885214555964,0.6785352460331103,0.6047607073219368,0.8502658950448315,0.5245443473828546,1.0447665544615148,-0.9215444883314763,0.4489978980948417,-0.8139332308149847,-0.676,-1.929,-0.028,-1.758,-0.016,0.795,-0.282,1.637,-1.276,1.021,0.009,-0.23,-0.885
ITW.N,-0.29247985040868696,0.2548306735531995,0.8771127071569866,0.05079381264343551,-0.11763578129887327,-0.22668244125576092,-0.20370907135055227,0.17039282421723997,-0.22168827883870504,-0.23076023933219955,0.08528102788682598,0.10717994547736304,-0.16385171199616194,0.2144484885919633,-0.1613660148154872,1.013,0.507,-0.437,1.912,0.66,-0.762,0.108,-0.054,-0.784,-0.293,0.213,1.791,-0.217
MNST.OQ,-0.8050576050983788,0.356093889260167,0.30490310984590085,-0.4870506817267477,-0.4796869844913245,-0.6300093043078566,-0.1761362364075965,0.4391980115495682,0.06333726387437134,0.48261331508499794,-0.17130752111363454,0.2356010514861581,-0.6712456870153627,0.04289524647692288,-0.3445791918973544,1.335,1.424,-2.901,0.772,0.424,0.483,0.387,1.081,-1.04,2.459,-1.275,-0.621,2.031
DFS.N,2.3331652092174497,-1.717714124355491,0.9373742471723956,3.4059386980070254,1.9710936883110304,2.3092373655481806,-0.3545152677309334,-0.9026899226099583,-3.154746766615834,-2.9826195907486652,0.54112436598578,-1.034806170806331,2.0216015003613177,0.30920835399352714,1.4019792408334681,-0.578,-0.262,1.166,-0.531,-0.234,-0.189,-0.153,-0.333,0.488,-0.869,-0.019,-0.205,0.506
BKNG.OQ,0.9074334592318655,-0.9905864990015328,0.18067662354147196,1.27395746670673,1.0267027470648624,0.820416481082831,0.11969593369820167,-0.517610927933149,-1.4374644092973758,-1.3944086551048764,0.5802433491450502,0.12206357904321734,0.4459231775449232,0.39419941262894215,0.444543444431435,-0.102,0.663,-0.309,1.862,0.799,1.431,1.702,0.726,0.352,0.009,0.139,-0.318,0.145
DOW.N,0.44403757262098353,-1.4806806941502832,1.5640727385598236,1.8814983308587598,-0.24396535728197988,-0.1777025251763493,0.7180114308154758,-0.15147510381478152,-0.9369536832731103,-1.0898827884934843,1.06588080250046,-0.18679632866734688,1.4987100849643036,0.8919737951723016,1.3298997336258802,0.235,-1.397,0.548,-0.497,0.038,-0.108,0.038,-0.761,-0.4,-0.684,-0.423,-0.545,-0.7
MSCI.N,0.4157586056926856,-0.5242604396874678,-1.4224553045768276,-0.6299195661971158,0.3136541405417672,0.3417976913113727,-0.5872767908639043,-0.6194789497217809,-0.0025944507350723622,-0.26379386397708793,-1.02285254324782,-0.8311185553135956,-0.25744255708309915,-0.5519879767837861,-0.3341732877006009,1.023,2.409,-0.366,-1.758,0.084,-3.375,-0.089,0.376,0.568,-1.22,-1.174,-1.124,1.61
IR.N,0.6810088598842211,-1.0656560466508165,0.5869998981814403,1.461184808700272,0.34175345534264306,0.5551263257304995,0.13238958912578347,-0.3943586649795757,-1.109947210294682,-1.1720281485185449,0.3810875468953625,-0.24953560621956794,0.7142921808265716,-0.029347584672975862,0.3072554815786146,-0.462,0.311,-0.271,-0.328,-0.459,0.069,-0.658,0.925,-0.002,1.254,-0.014,0.133,0.827
BKR.OQ,0.4042965752326383,-1.0026114814286067,2.366332804295688,2.431158122598119,0.23428208569781184,0.5073624593960046,0.20335043818246018,-0.7898721331923626,-1.5019884736362894,-1.9875313824319707,1.154347156965991,-0.34651284132357973,1.8358537437931564,0.6697173254017182,2.0413847284304407,-1.037,-0.729,0.21,-0.439,-0.13,-0.067,0.032,0.499,0.824,-0.922,0.38,-0.035,-0.593
UHS.N,0.7889510761812547,-1.143312938162596,1.374148833238672,1.927573059517811,1.121858099990702,1.444336184260746,-0.9789930397609768,-0.8189554793774356,-1.6788945905723547,-1.4937806090267884,-0.5278295348457039,-1.2029596326490113,0.8957987574944397,-0.1264352871840566,0.46835426306934036,-0.217,-1.243,0.658,-0.595,-1.175,0.989,-1.155,-0.074,0.246,0.192,0.922,0.198,-0.815
QRVO.OQ,0.7012078524398274,-0.8956551079386433,-0.9435020447062585,0.7957857432693904,0.7465710870035667,0.6037988288645009,-0.4662315041662012,-1.0124178027357509,-0.6736504705969639,-0.8483270713350378,-0.24395278780400423,-0.43668559893963876,0.18082249627578503,0.17648288946117363,0.5398813002079125,1.217,-0.372,0.192,-0.427,-1.262,-0.713,-0.365,-2.066,0.92,-0.099,0.569,-0.457,0.603
CHRW.OQ,-1.29737223431658,0.5771798945581429,0.6168428377636936,-0.5196768581549044,-0.9248199373755478,-1.0331013754154812,0.2530621922146803,0.2135323752164348,0.6472929119540594,0.5337654074561153,-0.025569770551494092,0.2148070297246467,-0.4563267920183277,0.1473197733387346,-0.17312069955544138,0.619,-1.591,0.087,0.598,-1.109,0.182,-0.381,0.15,-0.22,0.423,2.541,2.778,1.187
FICO.N,1.0716306814061105,-1.2392318981769843,-0.9871127865059414,0.9463379335380513,1.3800427367886094,1.2905061868282433,-1.5519806043765705,-1.1204408151925833,-1.2890909688440515,-1.0431694681633459,-1.6103287176581447,-1.6114263304527914,0.09040192361839972,-1.300086816453998,0.43361142556960985,2.545,1.772,-0.36,-1.758,-0.794,3.214,-0.674,1.188,0.929,1.082,0.923,0.924,2.374
AMCR.N,-0.24975809728075507,-0.7360595859866562,0.8434237293075096,0.6992500436376607,-0.056332534436587395,0.041520533210961004,-0.007797845734440178,-0.012078090041035366,-0.34200652110120244,-0.3268361594800006,-0.34648082609877057,-0.626565300194952,0.3169808754370674,0.021919983448419177,0.0667836472502055,-0.269,-0.894,0.556,0.228,-0.629,-0.05,-1.341,-0.765,-0.6,-0.649,0.244,1.01,-0.122
RE.N,-0.4701555098687747,-0.21858059749180814,1.59795488077852,0.9022549966444469,-0.16628048474690843,-0.036593196878794976,0.4310244947161331,0.2678534674720623,-0.8330445799544216,-0.36548428420654955,0.7355675961726563,0.5979807923292442,-0.024874467415910997,0.09505394325234731,0.07404932227948981,-0.209,-1.004,0.219,-0.605,-0.93,2.02,-0.912,1.224,-0.329,1.438,-0.667,-1.093,-0.554
BDX.N,-1.7472310028460385,1.2904834850535045,0.8002333418981179,-1.267785532932162,-0.41647557412993846,-0.6888017940594379,-0.3922708387197121,0.09519134431593275,0.7774245128506607,0.9885472119623102,-0.26393151566108386,0.5996927890127439,-1.3008558633874474,-0.0554300962745874,-0.9085498271501016,-0.399,0.349,0.122,-0.19,0.721,0.503,0.233,0.35,-1.388,-0.641,-1.021,-0.727,-1.486
MPWR.OQ,0.9651815206404364,-0.7252856809732339,-2.3833950049922197,0.12381125211091536,0.8493329328538453,0.5417637374114564,-0.5662873083590674,-0.9128255684745874,-0.34097516766296704,-0.5645477458208912,-0.4591977072593307,-0.36272658764444776,-0.1973658432392585,-0.3270330191141675,-0.2976141052790433,2.024,1.644,-2.903,1.117,-0.693,-3.375,0.293,0.925,1.952,-1.048,1.983,1.513,-0.365
ZION.OQ,0.5025827649875415,-0.6698041133591486,1.702975407006422,2.1296342908350536,0.3629010605587697,0.38101458084067324,0.5385757507331931,-0.336868161089346,-1.3096936405468553,-1.2683135645866117,1.5897485536749816,0.7360510450565915,0.8695316517795727,1.2740034370159212,0.6709609946811417,-1.074,0.062,1.007,-0.662,-1.476,-0.526,-0.151,-1.906,1.921,-0.72,0.359,-0.187,0.486
PFG.OQ,1.314764377009549,-1.2722874210783115,1.1554222522206155,2.2412402195943666,0.7952332080722236,1.082470172354251,0.17793246837482174,-0.33187483643991605,-1.9033900526337322,-1.6696496363071474,0.9357239050375403,-0.022740059784117635,1.1023459322544678,0.40459830177272427,1.0028913608418872,-0.209,-0.718,0.181,-0.414,-0.488,-0.443,-0.309,0.265,-0.09,-1.314,1.275,1.867,1.25
APTV.N,2.0084715078921325,-2.133768406779026,-0.5624790838509441,2.76261622926249,1.6369223233893941,1.6099039826613823,-0.26788516925780004,-1.0034548977816709,-2.1298475534661687,-2.4966337053272736,0.05004263121150201,-1.258592864095805,1.7103021893356443,0.12343794783679064,1.2450730986622487,-0.666,-0.697,0.362,-0.123,-0.29,-1.157,-0.219,-0.604,1.26,-1.449,-0.135,-0.266,1.642
PCAR.OQ,-0.621442514120866,0.3072019889607563,0.9179893823557882,0.18468322983029992,-0.028127592398443462,-0.14772981739904267,-0.12046853376757899,0.25515107723199887,-0.02334169308919032,-0.17502171048344736,0.3008339274102908,0.33164282210525137,-0.20458523643640475,0.023098616475267387,-0.22310208857579786,-0.356,-0.85,0.456,-0.246,0.009,0.042,0.397,0.729,-0.773,0.063,-0.172,-0.115,0.78
WBD.OQ,0.3461128211006527,-0.31383722500855094,0.6275383554458296,1.8753536353005653,0.5235026950634701,0.8421248615149255,-0.2365364183001772,-1.1571365473468902,-0.6236065144066854,-1.1095798293880235,0.49562744206370307,0.004185172288119521,0.5037360173347694,1.081023163681166,0.465210829900422,-0.776,-1.134,1.433,-1.306,-0.378,-0.152,0.046,-1.455,2.11,-0.137,1.479,0.709,-0.246
SPGI.N,0.15792585528332248,-0.2393442527317134,-0.4918589450280899,-0.44405140661309483,0.04073078799039189,0.21475403801656034,-0.5808328314376557,-0.461185754272395,-0.09928679624012836,-0.2564858114401956,-0.996485703072887,-0.8871952612363699,-0.14505185832621603,-0.6442530429766438,-0.03330554912109905,1.85,1.733,-0.57,-0.072,1.12,1.229,0.648,-0.036,-0.439,0.949,-0.52,-0.451,1.16
AMP.N,1.1547618250477456,-1.287091076398616,0.5965852877699209,1.456443337495079,0.41699030114609575,0.5221872771238548,0.42659396349388706,-0.24965941033656647,-1.4079021019198108,-1.3329995839848792,0.8042995512202413,-0.013770015051235363,0.9222793067364485,0.5065655538670578,0.7773782419686359,-1.027,-0.252,1.239,1.052,-0.027,-0.487,-0.333,0.787,0.11,-0.461,-1.295,-1.19,0.416
BFb.N,-0.8293676001103304,0.46545263174591134,0.6560141259793899,-0.4940501912521056,-0.6956884597281657,-0.6771226828128449,-0.04371740212419108,0.19510995818738544,0.14530159054411462,0.476297176712021,-0.02268505231146918,0.3040485259865663,-0.5780447786726952,-0.18298075141876138,-0.24047795063278812,0.508,1.267,-0.74,1.068,-0.077,0.056,-0.745,-0.698,-1.204,0.815,-1.296,-0.459,0.322
PEAK.N,0.54474309343526,-0.4231134692499545,0.7401050756685309,1.1243638606337594,0.48718757869685964,0.9225487098168723,-0.6487035676418463,-0.5044691952255,-1.2840965475828092,-0.9053322118098389,-0.5360432849595662,-0.95188238372836,0.5325426070478703,-0.3714484876968158,0.04428118042608344,-0.797,1.084,0.66,-0.448,-0.894,-0.042,-1.24,-1.823,-0.486,0.118,-0.625,-1.024,-0.619
LH.N,0.17760450973039688,-0.3848079208431358,0.4311453726046649,0.7047439008365399,0.5555999169462852,0.5065018969361686,-0.8459727753128303,-0.4813141097009064,-0.7857955520465483,-0.5701792741679677,-0.631713072504746,-0.9458979878644092,0.40223010620878863,-0.2628408437033694,0.04615648866017548,0.602,-0.775,0.246,-0.445,-0.473,-0.259,-0.793,-0.606,-0.618,-0.716,-0.258,-0.801,-0.067
